Feature1,Feature2,Label
4.658633489168722,4.880226775000438,1
1.1231520043819372,0.9297591298889138,0
1.8338872733035139,6.430209188889625,3
5.7341781299821735,5.160279592933969,1
0.5045623546366098,6.077848033391397,3
0.28243927365546584,-0.09288992585910982,0
6.376924739230291,5.420691204928624,1
-0.3613667588385965,0.8644863249380912,0
-0.9271730969506577,1.8028687588701693,0
1.2706032464683683,1.0278191416499833,0
4.500605166990948,4.901749293556628,1
9.72940178635335,4.126151539464274,2
-0.47076734095164685,-0.29629207744415553,0
1.0916226794307797,5.13125884088807,3
5.01396193742623,2.7916612975761437,1
1.328601376884504,1.0154607011406291,0
-0.1922855390490743,8.13419727608149,3
-0.24508607255904824,0.4200554500049485,0
-0.0685777161297656,6.170923928507147,3
5.735222987918728,4.547293614470414,1
2.545231168719961,2.1238065510298485,0
1.160871753596793,6.193599938370304,3
6.4698295046381435,5.016219168876632,1
2.2252589791041686,8.036466093439769,3
0.5384410481866749,1.6878474231684546,0
8.133755434870153,5.177877606787477,1
9.42455900819692,0.750117399970929,2
0.8636830934292463,0.9088226823819581,0
1.9457817986115649,5.951896380322458,3
1.9352985188126568,0.41944256528850055,0
8.807120895505493,1.218059517665164,2
1.426249668819377,0.5586198255921612,0
5.580364637180483,5.739861022829096,1
0.2960906170415355,6.413351704487348,3
6.162782968927455,4.470969666697792,1
0.6295382382957615,2.135256623615912,0
0.4086990433372861,8.115998859296788,3
8.298999909611094,0.11114616838949576,2
4.659275219950434,4.080537961034466,1
0.8649289001202348,6.206139205746316,3
10.384316441225735,1.665038569738942,2
0.5037036639138662,0.2114577652388635,0
8.946899954010366,1.6058629158693312,2
0.48941815085602747,0.12102706259484108,0
5.701891398834536,3.7184091031103224,1
1.4394361668507836,0.4699852169515065,0
2.054153260362529,2.259136071726056,0
0.45574145793255594,1.3699660626398213,0
-0.322523975803622,7.978641057542429,3
0.713513454620022,7.154135873849297,3
9.544352943165086,1.1287306196056814,2
4.432462572687671,5.442470682261438,1
2.0151450073610953,0.0810929444870161,0
8.357841680577415,1.8960656037675567,2
2.5779688627519173,4.970211694557804,3
0.9778794937817129,7.3147012514122025,3
4.322454504426799,4.428064278176169,1
4.746182338096673,3.9463186896635722,1
1.9635164471460724,1.2388802361761024,0
10.245069537489055,-0.3182600288479547,2
0.6951696370416032,1.053051866966387,0
8.633121924781198,0.11744332910969424,2
2.6835518373227853,8.642690961769928,3
9.14538747440162,-0.5716232551499014,2
0.568531714729537,6.518704763602351,3
8.553164722897757,1.8280040866618374,2
9.459187258176033,0.6643140722520934,2
5.020804629150902,5.882641354895619,1
4.760142539151355,5.995656132274128,1
1.6026243780998495,0.1887103771467037,0
-0.4110186269241094,5.693083492305229,3
1.3346365231587154,7.596500281587479,3
1.9262368243404187,7.759775364921923,3
1.8599581489331718,1.9204526774801103,0
